Epi_date_V3,Year,Cases,7-Day Average,Cumulative Cases,AsOf
05/10/2022,2022,1.0,0.0,1.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/11/2022,2022,5.0,0.0,6.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/12/2022,2022,0.0,0.0,6.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/13/2022,2022,0.0,0.0,6.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/14/2022,2022,0.0,0.0,6.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/15/2022,2022,2.0,0.0,8.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/16/2022,2022,7.0,2.142857074737549,15.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/17/2022,2022,3.0,2.4285714626312256,18.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/18/2022,2022,2.0,2.0,20.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/19/2022,2022,3.0,2.4285714626312256,23.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/20/2022,2022,0.0,2.4285714626312256,23.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/21/2022,2022,1.0,2.5714285373687744,24.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/22/2022,2022,1.0,2.4285714626312256,25.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/23/2022,2022,3.0,1.8571428060531616,28.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/24/2022,2022,3.0,1.8571428060531616,31.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/25/2022,2022,2.0,1.8571428060531616,33.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/26/2022,2022,2.0,1.7142857313156128,35.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/27/2022,2022,4.0,2.2857143878936768,39.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/28/2022,2022,0.0,2.142857074737549,39.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/29/2022,2022,6.0,2.857142925262451,45.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/30/2022,2022,8.0,3.5714285373687744,53.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
05/31/2022,2022,5.0,3.857142925262451,58.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/01/2022,2022,9.0,4.857142925262451,67.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/02/2022,2022,12.0,6.285714149475098,79.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/03/2022,2022,7.0,6.714285850524902,86.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/04/2022,2022,5.0,7.4285712242126465,91.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/05/2022,2022,6.0,7.4285712242126465,97.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/06/2022,2022,19.0,9.0,116.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/07/2022,2022,21.0,11.285714149475098,137.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/08/2022,2022,12.0,11.714285850524902,149.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/09/2022,2022,6.0,10.857142448425293,155.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/10/2022,2022,23.0,13.142857551574707,178.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/11/2022,2022,11.0,14.0,189.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/12/2022,2022,25.0,16.714284896850586,214.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/13/2022,2022,26.0,17.714284896850586,240.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/14/2022,2022,25.0,18.285715103149414,265.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/15/2022,2022,33.0,21.285715103149414,298.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/16/2022,2022,26.0,24.14285659790039,324.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/17/2022,2022,33.0,25.571428298950195,357.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/18/2022,2022,26.0,27.714284896850586,383.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/19/2022,2022,34.0,29.0,417.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/20/2022,2022,41.0,31.14285659790039,458.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/21/2022,2022,43.0,33.71428680419922,501.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
06/22/2022,2022,63.0,38.0,564.0,Data as Reported to CDC as of 01 Nov 2024 2:00 PM EDT
